# L    TT             EE             BB             TE  
1.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 1.175895622128403772e+02 5.583774928861204856e-01 6.336737056813010471e-02 -3.511864633638819289e+00
3.000000000000000000e+00 2.234471098568847083e+02 5.121834921139728491e-01 6.338612273187063662e-02 -2.981131561115226258e+00
4.000000000000000000e+00 3.184126141577982594e+02 4.676354844228419738e-01 6.340483959322823493e-02 -2.471734635772046662e+00
5.000000000000000000e+00 4.031452616641670375e+02 4.247140134940456391e-01 6.342352116550206698e-02 -1.983476494944889756e+00
6.000000000000000000e+00 4.783042389245773620e+02 3.833996230089019019e-01 6.344216746199136947e-02 -1.516159775969363466e+00
7.000000000000000000e+00 5.445487324876153252e+02 3.436728566487291525e-01 6.346077849599537912e-02 -1.069587116181077935e+00
8.000000000000000000e+00 6.025379289018670761e+02 3.055142580948451703e-01 6.347935428081330489e-02 -6.435611529156407551e-01
9.000000000000000000e+00 6.529310147159185362e+02 2.689043710285680122e-01 6.349789482974435573e-02 -2.378845235086611276e-01
1.000000000000000000e+01 6.963871764783563094e+02 2.338237391312161795e-01 6.351640015608778223e-02 1.476401347042518575e-01
1.100000000000000000e+01 7.335656007377658625e+02 2.002529060841072850e-01 6.353487027314282110e-02 5.132101843874891101e-01
1.200000000000000000e+01 7.651254740427340266e+02 1.681724155685598576e-01 6.355330519420865354e-02 8.590229882054443156e-01
1.300000000000000000e+01 7.917259829418468371e+02 1.375628112658916213e-01 6.357170493258453015e-02 1.185275908822504665e+00
1.400000000000000000e+01 8.140263139836897608e+02 1.084046368574208552e-01 6.359006950156967375e-02 1.492166308903063676e+00
1.500000000000000000e+01 8.326856537168497425e+02 8.067843602446568563e-02 6.360839891446329331e-02 1.779891551111513204e+00
1.600000000000000000e+01 8.483631886899124765e+02 5.436475244834411413e-02 6.362669318456463941e-02 2.048648998112242658e+00
1.700000000000000000e+01 8.617181054514641119e+02 2.944412981037424978e-02 6.364495232517289325e-02 2.298636012569645004e+00
1.800000000000000000e+01 8.734095905500911385e+02 5.897111791874285781e-03 6.366317634958727767e-02 2.530049957148109208e+00
1.900000000000000000e+01 8.840968305343791371e+02 -1.629575792583793162e-02 6.368136527110708489e-02 2.743088194512029787e+00
2.000000000000000000e+01 8.944390119529145977e+02 -3.715393566144401666e-02 6.369951910303149611e-02 2.937948087325796820e+00
2.100000000000000000e+01 9.050953213542837830e+02 -5.669687773362612482e-02 6.371763785865967866e-02 3.114826998253797719e+00
2.200000000000000000e+01 9.166003085569864197e+02 -7.494404046106599437e-02 6.373572155129096639e-02 3.273922289960430110e+00
2.300000000000000000e+01 9.289899764591775693e+02 -9.191488016244565851e-02 6.375377019422449887e-02 3.415431325110079630e+00
2.400000000000000000e+01 9.421756912289262118e+02 -1.076288531564467549e-01 6.377178380075954056e-02 3.539551466367139021e+00
2.500000000000000000e+01 9.560688190343008728e+02 -1.221054157617514485e-01 6.378976238419530043e-02 3.646480076396002801e+00
2.600000000000000000e+01 9.705807260433703050e+02 -1.353640242970418628e-01 6.380770595783098742e-02 3.736414517861057938e+00
2.700000000000000000e+01 9.856227784242041707e+02 -1.474241350809993578e-01 6.382561453496583825e-02 3.809552153426696730e+00
2.800000000000000000e+01 1.001106342344870541e+03 -1.583052044323061402e-01 6.384348812889910352e-02 3.866090345757310587e+00
2.900000000000000000e+01 1.016942783973438736e+03 -1.680266886696443196e-01 6.386132675292996441e-02 3.906226457517292250e+00
3.000000000000000000e+01 1.033056747912011360e+03 -1.766080441116954503e-01 6.387913042035767153e-02 3.930157851371030908e+00
3.100000000000000000e+01 1.049425992498830283e+03 -1.840687270771412809e-01 6.389689914448143382e-02 3.938081889982920636e+00
3.200000000000000000e+01 1.066041554506171224e+03 -1.904281938846643651e-01 6.391463293860048800e-02 3.930195936017347957e+00
3.300000000000000000e+01 1.082894470706308994e+03 -1.957059008529462019e-01 6.393233181601401527e-02 3.906697352138706947e+00
3.400000000000000000e+01 1.099975777871520222e+03 -1.999213043006685953e-01 6.394999579002130785e-02 3.867783501011390790e+00
3.500000000000000000e+01 1.117276512774080174e+03 -2.030938605465135993e-01 6.396762487392154695e-02 3.813651745299787343e+00
3.600000000000000000e+01 1.134787712186264571e+03 -2.052430259091631848e-01 6.398521908101395539e-02 3.744499447668288905e+00
3.700000000000000000e+01 1.152500412880348676e+03 -2.063882567072994056e-01 6.400277842459775601e-02 3.660523970781285552e+00
3.800000000000000000e+01 1.170405651628608666e+03 -2.065490092596037330e-01 6.402030291797219941e-02 3.561922677303170914e+00
3.900000000000000000e+01 1.188494465203319578e+03 -2.057447398847583320e-01 6.403779257443646677e-02 3.448892929898336845e+00
4.000000000000000000e+01 1.206757890376757587e+03 -2.039949049014449511e-01 6.405524740728983646e-02 3.321632091231168538e+00
4.100000000000000000e+01 1.225186963921198412e+03 -2.013189606283458943e-01 6.407266742983147578e-02 3.180337523966062285e+00
4.200000000000000000e+01 1.243772722608917320e+03 -1.977363633841427160e-01 6.409005265536064921e-02 3.025206590767411274e+00
4.300000000000000000e+01 1.262506203212189803e+03 -1.932665694875175533e-01 6.410740309717655183e-02 2.856436654299602029e+00
4.400000000000000000e+01 1.281380710931957765e+03 -1.879290352571517941e-01 6.412471876857842035e-02 2.674225077227028624e+00
4.500000000000000000e+01 1.300398624683820799e+03 -1.817432170117278811e-01 6.414199968286547759e-02 2.478769222214079360e+00
4.600000000000000000e+01 1.319564591812046274e+03 -1.747285710699279238e-01 6.415924585333693253e-02 2.270266451925150974e+00
4.700000000000000000e+01 1.338883259660901103e+03 -1.669045537504330323e-01 6.417645729329204962e-02 2.048914129024625552e+00
4.800000000000000000e+01 1.358359275574650155e+03 -1.582906213719256772e-01 6.419363401603001007e-02 1.814909616176903606e+00
4.900000000000000000e+01 1.377997286897560343e+03 -1.489062302530874959e-01 6.421077603485006446e-02 1.568450276046370329e+00
5.000000000000000000e+01 1.397801940973899036e+03 -1.387708367126009312e-01 6.422788336305140788e-02 1.309733471297422458e+00
5.100000000000000000e+01 1.417777885147931102e+03 -1.279038970691473986e-01 6.424495601393327704e-02 1.038956564594442966e+00
5.200000000000000000e+01 1.437929766763922771e+03 -1.163248676414088134e-01 6.426199400079490864e-02 7.563169186018299239e-01
5.300000000000000000e+01 1.458262233166142323e+03 -1.040532047480668965e-01 6.427899733693553941e-02 4.620118959839736861e-01
5.400000000000000000e+01 1.478779931698854398e+03 -9.110836470780402097e-02 6.429596603565435053e-02 1.562388594052614155e-01
5.500000000000000000e+01 1.499487509706325454e+03 -7.750980383930221318e-02 6.431290011025057873e-02 -1.608048284699073183e-01
5.600000000000000000e+01 1.520389614532822861e+03 -6.327697846124259728e-02 6.432979957402344684e-02 -4.889218049771527630e-01
5.700000000000000000e+01 1.541490893522611941e+03 -4.842934489230801137e-02 6.434666444027219157e-02 -8.279147074520740723e-01
5.800000000000000000e+01 1.562795994019959380e+03 -3.298635945117973228e-02 6.436349472229602187e-02 -1.177586173230285027e+00
5.900000000000000000e+01 1.584309563369131865e+03 -1.696747845653989034e-02 6.438029043339417445e-02 -1.537738839647391442e+00
6.000000000000000000e+01 1.606036248914395401e+03 -3.921582270700780539e-04 6.439705158686588604e-02 -1.908175344039006349e+00
6.100000000000000000e+01 1.627980698000015991e+03 1.672014491854719592e-02 6.441377819601032395e-02 -2.288698323740732121e+00
6.200000000000000000e+01 1.650147557970260777e+03 3.434997466163062368e-02 6.443047027412676653e-02 -2.679110416088185787e+00
6.300000000000000000e+01 1.672541476169395082e+03 5.247787468349764117e-02 6.444712783451442273e-02 -3.079214258416969940e+00
6.400000000000000000e+01 1.695167099941685819e+03 7.108438866546686052e-02 6.446375089047251539e-02 -3.488812488062694950e+00
6.500000000000000000e+01 1.718028243400343172e+03 9.015006028885653999e-02 6.448033945530026734e-02 -3.907707742360969849e+00
6.600000000000000000e+01 1.741125387734348124e+03 1.096554332349842925e-01 6.449689354229687366e-02 -4.335702658647401009e+00
6.700000000000000000e+01 1.764458180901625383e+03 1.295810511851684110e-01 6.451341316476161269e-02 -4.772599874257603680e+00
6.800000000000000000e+01 1.788026270860101477e+03 1.499074578207268693e-01 6.452989833599369340e-02 -5.218202026527178461e+00
6.900000000000000000e+01 1.811829305567699748e+03 1.706151968229780436e-01 6.454634906929229698e-02 -5.672311752791743267e+00
7.000000000000000000e+01 1.835866932982346043e+03 1.916848118732397133e-01 6.456276537795666015e-02 -6.134731690386895586e+00
7.100000000000000000e+01 1.860138801061965751e+03 2.130968466528297689e-01 6.457914727528606125e-02 -6.605264476648256000e+00
7.200000000000000000e+01 1.884644557764482443e+03 2.348318448430672389e-01 6.459549477457966760e-02 -7.083712748911424661e+00
7.300000000000000000e+01 1.909383851047823555e+03 2.568703501252694310e-01 6.461180788913670203e-02 -7.569879144512011493e+00
7.400000000000000000e+01 1.934356328869911749e+03 2.791929061807542634e-01 6.462808663225644290e-02 -8.063566300785632635e+00
7.500000000000000000e+01 1.959561639188673325e+03 3.017800566908405702e-01 6.464433101723802977e-02 -8.564576855067885575e+00
7.600000000000000000e+01 1.984999429962032991e+03 3.246123453368457423e-01 6.466054105738074098e-02 -9.072713444694391782e+00
7.700000000000000000e+01 2.010669349147916137e+03 3.476703158000884475e-01 6.467671676598379937e-02 -9.587778707000747858e+00
7.800000000000000000e+01 2.036571044704246788e+03 3.709345117618865206e-01 6.469285815634642778e-02 -1.010957527932257172e+01
7.900000000000000000e+01 2.062704164588950789e+03 3.943854769035577967e-01 6.470896524176783515e-02 -1.063790579899546529e+01
8.000000000000000000e+01 2.089068356759953076e+03 4.180037549064208324e-01 6.472503803554727209e-02 -1.117257290335504116e+01
8.100000000000000000e+01 2.115663269175178812e+03 4.417698894517936847e-01 6.474107655098391978e-02 -1.171337922973691192e+01
8.200000000000000000e+01 2.142488549792553385e+03 4.656644242209940776e-01 6.475708080137702882e-02 -1.226012741547667773e+01
8.300000000000000000e+01 2.169543846570000369e+03 4.896679028953400681e-01 6.477305080002580817e-02 -1.281262009790994938e+01
8.400000000000000000e+01 2.196828807465445607e+03 5.137608691561502683e-01 6.478898656022948066e-02 -1.337065991437233592e+01
8.500000000000000000e+01 2.224343080436814489e+03 5.379238666847425687e-01 6.480488809528729688e-02 -1.393404950219945881e+01
8.600000000000000000e+01 2.252086313442031496e+03 5.621374391624346378e-01 6.482075541849847966e-02 -1.450259149872691111e+01
8.700000000000000000e+01 2.280058154439022019e+03 5.863821302705449767e-01 6.483658854316221021e-02 -1.507608854129030362e+01
8.800000000000000000e+01 2.308258251385711446e+03 6.106384836903916424e-01 6.485238748257773911e-02 -1.565434326722524361e+01
8.900000000000000000e+01 2.336686252240024260e+03 6.348870431032925810e-01 6.486815225004430308e-02 -1.623715831386735431e+01
9.000000000000000000e+01 2.365341804959885849e+03 6.591083521905667375e-01 6.488388285886108331e-02 -1.682433631855223055e+01
9.100000000000000000e+01 2.394224557503220240e+03 6.832829546335306148e-01 6.489957932232734428e-02 -1.741567991861548848e+01
9.200000000000000000e+01 2.423334157827953277e+03 7.073913941135033800e-01 6.491524165374232269e-02 -1.801099175139273001e+01
9.300000000000000000e+01 2.452670253892009896e+03 7.314142143118029793e-01 6.493086986640517200e-02 -1.861007445421956774e+01
9.400000000000000000e+01 2.482232493653315487e+03 7.553319589097474696e-01 6.494646397361518442e-02 -1.921273066443161426e+01
9.500000000000000000e+01 2.512020525069794530e+03 7.791251715886545748e-01 6.496202398867155503e-02 -1.981876301936446438e+01
9.600000000000000000e+01 2.542033996099373326e+03 8.027743960298429071e-01 6.497754992487350667e-02 -2.042797415635374492e+01
9.700000000000000000e+01 2.572272554699974535e+03 8.262601759146304126e-01 6.499304179552027605e-02 -2.104016671273505423e+01
9.800000000000000000e+01 2.602735848829524002e+03 8.495630549243352592e-01 6.500849961391105825e-02 -2.165514332584400137e+01
9.900000000000000000e+01 2.633423526445948028e+03 8.726635767402747268e-01 6.502392339334510385e-02 -2.227270663301619535e+01
1.000000000000000000e+02 2.664335235507171092e+03 8.955422850437682047e-01 6.503931314712162182e-02 -2.289265927158725233e+01
1.010000000000000000e+02 2.695469516920101341e+03 9.181797235161333059e-01 6.505466888853983498e-02 -2.351474554320894939e+01
1.020000000000000000e+02 2.726820483387584318e+03 9.405564358386881985e-01 6.506999063089899393e-02 -2.413847640679775353e+01
1.030000000000000000e+02 2.758381140561447864e+03 9.626529656927498291e-01 6.508527838749830763e-02 -2.476330448558631758e+01
