#    L    TT             EE             BB             TE          
     2   0.104205E+04   0.384598E-01   0.182487E-05   0.288434E+01
     3   0.983847E+03   0.552873E-01   0.364822E-05   0.339845E+01
     4   0.927783E+03   0.541291E-01   0.607732E-05   0.332335E+01
     5   0.885266E+03   0.411153E-01   0.911504E-05   0.294070E+01
     6   0.855552E+03   0.257581E-01   0.127611E-04   0.244949E+01
     7   0.836116E+03   0.143176E-01   0.170172E-04   0.196895E+01
     8   0.823991E+03   0.823358E-02   0.218833E-04   0.156296E+01
     9   0.817662E+03   0.589250E-02   0.273620E-04   0.125413E+01
    10   0.815650E+03   0.509922E-02   0.334534E-04   0.104744E+01
    11   0.816526E+03   0.452682E-02   0.401595E-04   0.934794E+00
    12   0.820887E+03   0.388695E-02   0.474806E-04   0.900367E+00
    13   0.826713E+03   0.338308E-02   0.554193E-04   0.918629E+00
    14   0.833891E+03   0.319229E-02   0.639761E-04   0.962041E+00
    15   0.841312E+03   0.328574E-02   0.731537E-04   0.101680E+01
    16   0.850694E+03   0.350420E-02   0.829524E-04   0.107874E+01
    17   0.861874E+03   0.378631E-02   0.933747E-04   0.114112E+01
    18   0.873707E+03   0.412350E-02   0.104421E-03   0.119954E+01
    19   0.886931E+03   0.459538E-02   0.116095E-03   0.125679E+01
    20   0.899921E+03   0.526729E-02   0.128395E-03   0.130868E+01
    21   0.913374E+03   0.613956E-02   0.141326E-03   0.136294E+01
    22   0.927325E+03   0.720800E-02   0.154886E-03   0.142328E+01
    23   0.941373E+03   0.844296E-02   0.169080E-03   0.148896E+01
    24   0.955829E+03   0.982402E-02   0.183906E-03   0.155793E+01
    25   0.970824E+03   0.113620E-01   0.199368E-03   0.162271E+01
    26   0.985874E+03   0.130739E-01   0.215465E-03   0.168642E+01
    27   0.100139E+04   0.149462E-01   0.232201E-03   0.174695E+01
    28   0.101719E+04   0.169472E-01   0.249574E-03   0.179650E+01
    29   0.103321E+04   0.191039E-01   0.267588E-03   0.183915E+01
    30   0.104964E+04   0.214518E-01   0.286242E-03   0.186777E+01
    31   0.106588E+04   0.239932E-01   0.305537E-03   0.189244E+01
    32   0.108274E+04   0.267512E-01   0.325475E-03   0.190772E+01
    33   0.109968E+04   0.296980E-01   0.346057E-03   0.191314E+01
    34   0.111668E+04   0.328709E-01   0.367281E-03   0.191152E+01
    35   0.113430E+04   0.362825E-01   0.389151E-03   0.189699E+01
    36   0.115165E+04   0.399580E-01   0.411666E-03   0.188235E+01
    37   0.116925E+04   0.438868E-01   0.434826E-03   0.185992E+01
    38   0.118721E+04   0.480264E-01   0.458632E-03   0.182903E+01
    39   0.120545E+04   0.523884E-01   0.483084E-03   0.178798E+01
