#    L    TT             EE             BB             TE             PP             TP             EP          
     2   0.104204E+04   0.384580E-01   0.000000E+00   0.288434E+01   0.501750E-07   0.311470E-02  -0.136997E-04
     3   0.983840E+03   0.552838E-01   0.000000E+00   0.339846E+01   0.610759E-07   0.311307E-02  -0.156840E-04
     4   0.927772E+03   0.541232E-01   0.000000E+00   0.332336E+01   0.703776E-07   0.303705E-02  -0.144959E-04
     5   0.885249E+03   0.411064E-01   0.000000E+00   0.294072E+01   0.784423E-07   0.293323E-02  -0.113091E-04
     6   0.855528E+03   0.257455E-01   0.000000E+00   0.244951E+01   0.854798E-07   0.282134E-02  -0.718293E-05
     7   0.836085E+03   0.143007E-01   0.000000E+00   0.196897E+01   0.916751E-07   0.271134E-02  -0.304604E-05
     8   0.823950E+03   0.821180E-02   0.000000E+00   0.156298E+01   0.971568E-07   0.260358E-02   0.362830E-06
     9   0.817612E+03   0.586523E-02   0.000000E+00   0.125415E+01   0.102035E-06   0.249740E-02   0.257871E-05
    10   0.815590E+03   0.506586E-02   0.000000E+00   0.104746E+01   0.106379E-06   0.239485E-02   0.349814E-05
    11   0.816454E+03   0.448675E-02   0.000000E+00   0.934816E+00   0.110285E-06   0.230079E-02   0.333598E-05
    12   0.820803E+03   0.383955E-02   0.000000E+00   0.900392E+00   0.113754E-06   0.221467E-02   0.243462E-05
    13   0.826616E+03   0.332773E-02   0.000000E+00   0.918660E+00   0.116890E-06   0.213947E-02   0.112572E-05
    14   0.833780E+03   0.312837E-02   0.000000E+00   0.962080E+00   0.119681E-06   0.206776E-02  -0.272836E-06
    15   0.841186E+03   0.321264E-02   0.000000E+00   0.101685E+01   0.122203E-06   0.199964E-02  -0.142107E-05
    16   0.850552E+03   0.342130E-02   0.000000E+00   0.107880E+01   0.124459E-06   0.193196E-02  -0.201317E-05
    17   0.861716E+03   0.369299E-02   0.000000E+00   0.114119E+01   0.126476E-06   0.186606E-02  -0.204474E-05
    18   0.873531E+03   0.401911E-02   0.000000E+00   0.119963E+01   0.128290E-06   0.180427E-02  -0.162705E-05
    19   0.886738E+03   0.447931E-02   0.000000E+00   0.125689E+01   0.129909E-06   0.174628E-02  -0.103183E-05
    20   0.899709E+03   0.513891E-02   0.000000E+00   0.130881E+01   0.131342E-06   0.169131E-02  -0.514999E-06
    21   0.913144E+03   0.599825E-02   0.000000E+00   0.136309E+01   0.132611E-06   0.163898E-02  -0.123108E-06
    22   0.927074E+03   0.705314E-02   0.000000E+00   0.142345E+01   0.133737E-06   0.158908E-02   0.139213E-06
    23   0.941103E+03   0.827393E-02   0.000000E+00   0.148917E+01   0.134729E-06   0.154177E-02   0.228726E-06
    24   0.955537E+03   0.964019E-02   0.000000E+00   0.155817E+01   0.135594E-06   0.149721E-02   0.106167E-06
    25   0.970511E+03   0.111627E-01   0.000000E+00   0.162299E+01   0.136343E-06   0.145521E-02  -0.214440E-06
    26   0.985539E+03   0.128586E-01   0.000000E+00   0.168675E+01   0.136988E-06   0.141547E-02  -0.674608E-06
    27   0.100103E+04   0.147142E-01   0.000000E+00   0.174732E+01   0.137538E-06   0.137740E-02  -0.109052E-05
    28   0.101681E+04   0.166979E-01   0.000000E+00   0.179692E+01   0.137999E-06   0.134053E-02  -0.128725E-05
    29   0.103280E+04   0.188367E-01   0.000000E+00   0.183963E+01   0.138372E-06   0.130500E-02  -0.124621E-05
