#    L    TT             EE             TE             PP             TP          
     2   0.104204E+04   0.384580E-01   0.288434E+01   0.104082E+07   0.290339E+05
     3   0.983840E+03   0.552838E-01   0.339846E+01   0.160348E+07   0.346263E+05
     4   0.927772E+03   0.541232E-01   0.332336E+01   0.210226E+07   0.372146E+05
     5   0.885249E+03   0.411064E-01   0.294072E+01   0.254250E+07   0.382120E+05
     6   0.855528E+03   0.257455E-01   0.244951E+01   0.293118E+07   0.383408E+05
     7   0.836085E+03   0.143007E-01   0.196897E+01   0.327597E+07   0.380033E+05
     8   0.823950E+03   0.821180E-02   0.156298E+01   0.358295E+07   0.373653E+05
     9   0.817612E+03   0.586523E-02   0.125415E+01   0.385750E+07   0.365156E+05
    10   0.815590E+03   0.506586E-02   0.104746E+01   0.410340E+07   0.355480E+05
    11   0.816454E+03   0.448675E-02   0.934816E+00   0.432524E+07   0.345797E+05
    12   0.820803E+03   0.383955E-02   0.900392E+00   0.452391E+07   0.336351E+05
    13   0.826616E+03   0.332773E-02   0.918660E+00   0.470412E+07   0.327835E+05
    14   0.833780E+03   0.312837E-02   0.962080E+00   0.486600E+07   0.319287E+05
    15   0.841186E+03   0.321264E-02   0.101685E+01   0.501300E+07   0.310838E+05
    16   0.850552E+03   0.342130E-02   0.107880E+01   0.514566E+07   0.302086E+05
    17   0.861716E+03   0.369299E-02   0.114119E+01   0.526544E+07   0.293303E+05
    18   0.873531E+03   0.401911E-02   0.119963E+01   0.537404E+07   0.284908E+05
    19   0.886738E+03   0.447931E-02   0.125689E+01   0.547215E+07   0.276901E+05
    20   0.899709E+03   0.513891E-02   0.130881E+01   0.556029E+07   0.269195E+05
    21   0.913144E+03   0.599825E-02   0.136309E+01   0.563955E+07   0.261754E+05
    22   0.927074E+03   0.705314E-02   0.142345E+01   0.571102E+07   0.254574E+05
    23   0.941103E+03   0.827393E-02   0.148917E+01   0.577520E+07   0.247697E+05
    24   0.955537E+03   0.964019E-02   0.155817E+01   0.583252E+07   0.241165E+05
    25   0.970511E+03   0.111627E-01   0.162299E+01   0.588355E+07   0.234964E+05
    26   0.985539E+03   0.128586E-01   0.168675E+01   0.592890E+07   0.229055E+05
    27   0.100103E+04   0.147142E-01   0.174732E+01   0.596905E+07   0.223354E+05
    28   0.101681E+04   0.166979E-01   0.179692E+01   0.600438E+07   0.217792E+05
    29   0.103280E+04   0.188367E-01   0.183963E+01   0.603494E+07   0.212399E+05
    30   0.104921E+04   0.211661E-01   0.186830E+01   0.606086E+07   0.207218E+05
    31   0.106543E+04   0.236883E-01   0.189303E+01   0.608267E+07   0.202236E+05
    32   0.108226E+04   0.264265E-01   0.190838E+01   0.610094E+07   0.197430E+05
    33   0.109917E+04   0.293529E-01   0.191387E+01   0.611589E+07   0.192782E+05
    34   0.111615E+04   0.325048E-01   0.191233E+01   0.612767E+07   0.188275E+05
    35   0.113374E+04   0.358949E-01   0.189787E+01   0.613649E+07   0.183897E+05
    36   0.115106E+04   0.395481E-01   0.188331E+01   0.614258E+07   0.179654E+05
    37   0.116863E+04   0.434542E-01   0.186097E+01   0.614612E+07   0.175620E+05
    38   0.118657E+04   0.475704E-01   0.183016E+01   0.614730E+07   0.171860E+05
