# L TT EE BB TE
2 0.00000e+00 0.00000e+00 1.88560e-04 0.00000e+00
3 0.00000e+00 0.00000e+00 1.99450e-04 0.00000e+00
4 0.00000e+00 0.00000e+00 1.79780e-04 0.00000e+00
5 0.00000e+00 0.00000e+00 1.45040e-04 0.00000e+00
6 0.00000e+00 0.00000e+00 1.08200e-04 0.00000e+00
7 0.00000e+00 0.00000e+00 7.72280e-05 0.00000e+00
8 0.00000e+00 0.00000e+00 5.52530e-05 0.00000e+00
9 0.00000e+00 0.00000e+00 4.22930e-05 0.00000e+00
10 0.00000e+00 0.00000e+00 3.67680e-05 0.00000e+00
11 0.00000e+00 0.00000e+00 3.66270e-05 0.00000e+00
12 0.00000e+00 0.00000e+00 3.99990e-05 0.00000e+00
13 0.00000e+00 0.00000e+00 4.55740e-05 0.00000e+00
14 0.00000e+00 0.00000e+00 5.23180e-05 0.00000e+00
15 0.00000e+00 0.00000e+00 5.97700e-05 0.00000e+00
16 0.00000e+00 0.00000e+00 6.76590e-05 0.00000e+00
17 0.00000e+00 0.00000e+00 7.58890e-05 0.00000e+00
18 0.00000e+00 0.00000e+00 8.44160e-05 0.00000e+00
19 0.00000e+00 0.00000e+00 9.32270e-05 0.00000e+00
20 0.00000e+00 0.00000e+00 1.02310e-04 0.00000e+00
21 0.00000e+00 0.00000e+00 1.11660e-04 0.00000e+00
22 0.00000e+00 0.00000e+00 1.21260e-04 0.00000e+00
23 0.00000e+00 0.00000e+00 1.31090e-04 0.00000e+00
24 0.00000e+00 0.00000e+00 1.41120e-04 0.00000e+00
25 0.00000e+00 0.00000e+00 1.51350e-04 0.00000e+00
26 0.00000e+00 0.00000e+00 1.61750e-04 0.00000e+00
27 0.00000e+00 0.00000e+00 1.72330e-04 0.00000e+00
28 0.00000e+00 0.00000e+00 1.83090e-04 0.00000e+00
29 0.00000e+00 0.00000e+00 1.94010e-04 0.00000e+00
30 0.00000e+00 0.00000e+00 2.05100e-04 0.00000e+00
31 0.00000e+00 0.00000e+00 2.16330e-04 0.00000e+00
32 0.00000e+00 0.00000e+00 2.27690e-04 0.00000e+00
33 0.00000e+00 0.00000e+00 2.39160e-04 0.00000e+00
34 0.00000e+00 0.00000e+00 2.50730e-04 0.00000e+00
35 0.00000e+00 0.00000e+00 2.62350e-04 0.00000e+00
36 0.00000e+00 0.00000e+00 2.73990e-04 0.00000e+00
37 0.00000e+00 0.00000e+00 2.85670e-04 0.00000e+00
38 0.00000e+00 0.00000e+00 2.97420e-04 0.00000e+00
39 0.00000e+00 0.00000e+00 3.09210e-04 0.00000e+00
40 0.00000e+00 0.00000e+00 3.20990e-04 0.00000e+00
41 0.00000e+00 0.00000e+00 3.32730e-04 0.00000e+00
42 0.00000e+00 0.00000e+00 3.44410e-04 0.00000e+00
43 0.00000e+00 0.00000e+00 3.56030e-04 0.00000e+00
44 0.00000e+00 0.00000e+00 3.67570e-04 0.00000e+00
45 0.00000e+00 0.00000e+00 3.79030e-04 0.00000e+00
46 0.00000e+00 0.00000e+00 3.90400e-04 0.00000e+00
47 0.00000e+00 0.00000e+00 4.01670e-04 0.00000e+00
48 0.00000e+00 0.00000e+00 4.12810e-04 0.00000e+00
49 0.00000e+00 0.00000e+00 4.23820e-04 0.00000e+00
50 0.00000e+00 0.00000e+00 4.34670e-04 0.00000e+00
51 0.00000e+00 0.00000e+00 4.45360e-04 0.00000e+00
52 0.00000e+00 0.00000e+00 4.55880e-04 0.00000e+00
53 0.00000e+00 0.00000e+00 4.66210e-04 0.00000e+00
54 0.00000e+00 0.00000e+00 4.76340e-04 0.00000e+00
55 0.00000e+00 0.00000e+00 4.86280e-04 0.00000e+00
56 0.00000e+00 0.00000e+00 4.96010e-04 0.00000e+00
57 0.00000e+00 0.00000e+00 5.05520e-04 0.00000e+00
58 0.00000e+00 0.00000e+00 5.14810e-04 0.00000e+00
59 0.00000e+00 0.00000e+00 5.23850e-04 0.00000e+00
60 0.00000e+00 0.00000e+00 5.32640e-04 0.00000e+00
61 0.00000e+00 0.00000e+00 5.41170e-04 0.00000e+00
62 0.00000e+00 0.00000e+00 5.49430e-04 0.00000e+00
63 0.00000e+00 0.00000e+00 5.57430e-04 0.00000e+00
64 0.00000e+00 0.00000e+00 5.65140e-04 0.00000e+00
65 0.00000e+00 0.00000e+00 5.72580e-04 0.00000e+00
66 0.00000e+00 0.00000e+00 5.79730e-04 0.00000e+00
67 0.00000e+00 0.00000e+00 5.86580e-04 0.00000e+00
68 0.00000e+00 0.00000e+00 5.93140e-04 0.00000e+00
69 0.00000e+00 0.00000e+00 5.99400e-04 0.00000e+00
70 0.00000e+00 0.00000e+00 6.05340e-04 0.00000e+00
71 0.00000e+00 0.00000e+00 6.10960e-04 0.00000e+00
72 0.00000e+00 0.00000e+00 6.16270e-04 0.00000e+00
73 0.00000e+00 0.00000e+00 6.21260e-04 0.00000e+00
74 0.00000e+00 0.00000e+00 6.25940e-04 0.00000e+00
75 0.00000e+00 0.00000e+00 6.30300e-04 0.00000e+00
76 0.00000e+00 0.00000e+00 6.34340e-04 0.00000e+00
77 0.00000e+00 0.00000e+00 6.38070e-04 0.00000e+00
78 0.00000e+00 0.00000e+00 6.41480e-04 0.00000e+00
79 0.00000e+00 0.00000e+00 6.44570e-04 0.00000e+00
80 0.00000e+00 0.00000e+00 6.47340e-04 0.00000e+00
81 0.00000e+00 0.00000e+00 6.49790e-04 0.00000e+00
82 0.00000e+00 0.00000e+00 6.51910e-04 0.00000e+00
83 0.00000e+00 0.00000e+00 6.53720e-04 0.00000e+00
84 0.00000e+00 0.00000e+00 6.55200e-04 0.00000e+00
85 0.00000e+00 0.00000e+00 6.56370e-04 0.00000e+00
86 0.00000e+00 0.00000e+00 6.57210e-04 0.00000e+00
87 0.00000e+00 0.00000e+00 6.57740e-04 0.00000e+00
88 0.00000e+00 0.00000e+00 6.57950e-04 0.00000e+00
89 0.00000e+00 0.00000e+00 6.57850e-04 0.00000e+00
90 0.00000e+00 0.00000e+00 6.57440e-04 0.00000e+00
91 0.00000e+00 0.00000e+00 6.56720e-04 0.00000e+00
92 0.00000e+00 0.00000e+00 6.55690e-04 0.00000e+00
93 0.00000e+00 0.00000e+00 6.54380e-04 0.00000e+00
94 0.00000e+00 0.00000e+00 6.52770e-04 0.00000e+00
95 0.00000e+00 0.00000e+00 6.50880e-04 0.00000e+00
96 0.00000e+00 0.00000e+00 6.48710e-04 0.00000e+00
97 0.00000e+00 0.00000e+00 6.46270e-04 0.00000e+00
98 0.00000e+00 0.00000e+00 6.43570e-04 0.00000e+00
99 0.00000e+00 0.00000e+00 6.40610e-04 0.00000e+00
100 0.00000e+00 0.00000e+00 6.37400e-04 0.00000e+00
101 0.00000e+00 0.00000e+00 6.33940e-04 0.00000e+00
102 0.00000e+00 0.00000e+00 6.30240e-04 0.00000e+00
103 0.00000e+00 0.00000e+00 6.26310e-04 0.00000e+00
104 0.00000e+00 0.00000e+00 6.22150e-04 0.00000e+00
105 0.00000e+00 0.00000e+00 6.17780e-04 0.00000e+00
106 0.00000e+00 0.00000e+00 6.13180e-04 0.00000e+00
107 0.00000e+00 0.00000e+00 6.08380e-04 0.00000e+00
108 0.00000e+00 0.00000e+00 6.03380e-04 0.00000e+00
109 0.00000e+00 0.00000e+00 5.98190e-04 0.00000e+00
110 0.00000e+00 0.00000e+00 5.92800e-04 0.00000e+00
111 0.00000e+00 0.00000e+00 5.87230e-04 0.00000e+00
112 0.00000e+00 0.00000e+00 5.81490e-04 0.00000e+00
113 0.00000e+00 0.00000e+00 5.75580e-04 0.00000e+00
114 0.00000e+00 0.00000e+00 5.69510e-04 0.00000e+00
115 0.00000e+00 0.00000e+00 5.63300e-04 0.00000e+00
116 0.00000e+00 0.00000e+00 5.56940e-04 0.00000e+00
117 0.00000e+00 0.00000e+00 5.50440e-04 0.00000e+00
118 0.00000e+00 0.00000e+00 5.43820e-04 0.00000e+00
119 0.00000e+00 0.00000e+00 5.37080e-04 0.00000e+00
120 0.00000e+00 0.00000e+00 5.30240e-04 0.00000e+00
121 0.00000e+00 0.00000e+00 5.23290e-04 0.00000e+00
122 0.00000e+00 0.00000e+00 5.16240e-04 0.00000e+00
123 0.00000e+00 0.00000e+00 5.09110e-04 0.00000e+00
124 0.00000e+00 0.00000e+00 5.01910e-04 0.00000e+00
125 0.00000e+00 0.00000e+00 4.94630e-04 0.00000e+00
126 0.00000e+00 0.00000e+00 4.87300e-04 0.00000e+00
127 0.00000e+00 0.00000e+00 4.79910e-04 0.00000e+00
128 0.00000e+00 0.00000e+00 4.72470e-04 0.00000e+00
129 0.00000e+00 0.00000e+00 4.65000e-04 0.00000e+00
130 0.00000e+00 0.00000e+00 4.57500e-04 0.00000e+00
131 0.00000e+00 0.00000e+00 4.49980e-04 0.00000e+00
132 0.00000e+00 0.00000e+00 4.42450e-04 0.00000e+00
133 0.00000e+00 0.00000e+00 4.34900e-04 0.00000e+00
134 0.00000e+00 0.00000e+00 4.27350e-04 0.00000e+00
135 0.00000e+00 0.00000e+00 4.19810e-04 0.00000e+00
136 0.00000e+00 0.00000e+00 4.12270e-04 0.00000e+00
137 0.00000e+00 0.00000e+00 4.04750e-04 0.00000e+00
