#    L    TT             EE             BB             TE          
     2    0.53436E+02    0.11626E-02    0.19927E-02    0.56821E-01
     3    0.42717E+02    0.13059E-02    0.21018E-02   -0.84979E-02
     4    0.40076E+02    0.12336E-02    0.18901E-02   -0.27308E-01
     5    0.39102E+02    0.10061E-02    0.15217E-02   -0.30927E-01
     6    0.38745E+02    0.73873E-03    0.11325E-02   -0.28739E-01
     7    0.38689E+02    0.51535E-03    0.80598E-03   -0.25028E-01
     8    0.38769E+02    0.37189E-03    0.57437E-03   -0.21984E-01
     9    0.38925E+02    0.30958E-03    0.43753E-03   -0.19925E-01
    10    0.39117E+02    0.30814E-03    0.37861E-03   -0.18998E-01
    11    0.39292E+02    0.34486E-03    0.37599E-03   -0.19330E-01
    12    0.39396E+02    0.40179E-03    0.41003E-03   -0.20358E-01
    13    0.39460E+02    0.47011E-03    0.46698E-03   -0.21952E-01
    14    0.39531E+02    0.54419E-03    0.53602E-03   -0.24124E-01
    15    0.39628E+02    0.62268E-03    0.61237E-03   -0.26813E-01
    16    0.39752E+02    0.70532E-03    0.69318E-03   -0.29943E-01
    17    0.39865E+02    0.79186E-03    0.77747E-03   -0.33460E-01
    18    0.39929E+02    0.88207E-03    0.86477E-03   -0.37310E-01
    19    0.39945E+02    0.97578E-03    0.95495E-03   -0.41397E-01
    20    0.39921E+02    0.10729E-02    0.10479E-02   -0.45650E-01
    21    0.39868E+02    0.11735E-02    0.11436E-02   -0.50125E-01
    22    0.39792E+02    0.12777E-02    0.12418E-02   -0.54885E-01
    23    0.39694E+02    0.13853E-02    0.13423E-02   -0.59893E-01
    24    0.39575E+02    0.14960E-02    0.14449E-02   -0.65099E-01
    25    0.39437E+02    0.16095E-02    0.15494E-02   -0.70482E-01
    26    0.39282E+02    0.17253E-02    0.16558E-02   -0.76024E-01
    27    0.39111E+02    0.18430E-02    0.17639E-02   -0.81671E-01
    28    0.38923E+02    0.19624E-02    0.18738E-02   -0.87384E-01
    29    0.38719E+02    0.20845E-02    0.19855E-02   -0.93220E-01
    30    0.38498E+02    0.22104E-02    0.20988E-02   -0.99232E-01
    31    0.38263E+02    0.23400E-02    0.22135E-02   -0.10538E+00
    32    0.38016E+02    0.24724E-02    0.23295E-02   -0.11161E+00
    33    0.37755E+02    0.26066E-02    0.24467E-02   -0.11789E+00
    34    0.37480E+02    0.27417E-02    0.25648E-02   -0.12422E+00
    35    0.37192E+02    0.28782E-02    0.26834E-02   -0.13059E+00
    36    0.36892E+02    0.30168E-02    0.28022E-02   -0.13697E+00
    37    0.36582E+02    0.31575E-02    0.29215E-02   -0.14335E+00
    38    0.36261E+02    0.33002E-02    0.30414E-02   -0.14970E+00
    39    0.35929E+02    0.34445E-02    0.31616E-02   -0.15602E+00
    40    0.35586E+02    0.35899E-02    0.32818E-02   -0.16230E+00
    41    0.35234E+02    0.37360E-02    0.34015E-02   -0.16854E+00
    42    0.34872E+02    0.38828E-02    0.35207E-02   -0.17474E+00
    43    0.34501E+02    0.40302E-02    0.36391E-02   -0.18088E+00
    44    0.34121E+02    0.41782E-02    0.37568E-02   -0.18695E+00
    45    0.33733E+02    0.43268E-02    0.38737E-02   -0.19293E+00
    46    0.33337E+02    0.44759E-02    0.39895E-02   -0.19883E+00
    47    0.32934E+02    0.46254E-02    0.41043E-02   -0.20462E+00
    48    0.32523E+02    0.47752E-02    0.42178E-02   -0.21029E+00
    49    0.32106E+02    0.49250E-02    0.43300E-02   -0.21584E+00
    50    0.31683E+02    0.50748E-02    0.44405E-02   -0.22125E+00
    51    0.31254E+02    0.52243E-02    0.45493E-02   -0.22651E+00
    52    0.30820E+02    0.53734E-02    0.46563E-02   -0.23162E+00
    53    0.30381E+02    0.55220E-02    0.47615E-02   -0.23657E+00
    54    0.29937E+02    0.56698E-02    0.48646E-02   -0.24135E+00
    55    0.29490E+02    0.58167E-02    0.49657E-02   -0.24597E+00
    56    0.29038E+02    0.59627E-02    0.50647E-02   -0.25042E+00
    57    0.28583E+02    0.61075E-02    0.51614E-02   -0.25469E+00
    58    0.28125E+02    0.62511E-02    0.52558E-02   -0.25878E+00
    59    0.27664E+02    0.63936E-02    0.53477E-02   -0.26267E+00
