# lensed Cls calculated from the lensit 10-11 box structure and unlensed Cls
# L          TT          EE          BB          TE
   14 2.497787e+01 9.510781e-05 1.933423e-06 2.879536e-02
   20 1.348350e+01 7.891928e-05 1.940305e-06 1.960997e-02
   28 7.878671e+00 1.311726e-04 1.951639e-06 1.393453e-02
   31 6.757318e+00 1.520015e-04 1.956627e-06 1.200837e-02
   40 4.692140e+00 2.184202e-04 1.968338e-06 6.659945e-03
   42 4.390477e+00 2.332865e-04 1.970434e-06 5.535149e-03
   44 4.123815e+00 2.482271e-04 1.973581e-06 4.412186e-03
   51 3.405201e+00 2.980199e-04 1.981077e-06 8.426759e-04
   56 3.033169e+00 3.326569e-04 1.984876e-06 -1.549105e-03
   58 2.908393e+00 3.456729e-04 1.986697e-06 -2.456455e-03
   60 2.794415e+00 3.576616e-04 1.989421e-06 -3.330452e-03
   63 2.641465e+00 3.752216e-04 1.991166e-06 -4.569866e-03
   70 2.350666e+00 4.121287e-04 1.995732e-06 -7.227748e-03
   72 2.281327e+00 4.213992e-04 1.995453e-06 -7.909236e-03
   76 2.156915e+00 4.377886e-04 1.998251e-06 -9.201832e-03
   80 2.050009e+00 4.516175e-04 2.001318e-06 -1.036754e-02
   82 2.001698e+00 4.574806e-04 2.001948e-06 -1.090515e-02
   85 1.934876e+00 4.649502e-04 2.001106e-06 -1.165144e-02
   86 1.913837e+00 4.670907e-04 2.001912e-06 -1.188479e-02
   89 1.854706e+00 4.724941e-04 2.004205e-06 -1.253751e-02
   90 1.836201e+00 4.739440e-04 2.006267e-06 -1.273950e-02
   95 1.750887e+00 4.785717e-04 2.007771e-06 -1.363297e-02
   99 1.690338e+00 4.790766e-04 2.008551e-06 -1.421095e-02
  100 1.676158e+00 4.787653e-04 2.010217e-06 -1.433613e-02
  102 1.649075e+00 4.776730e-04 2.012769e-06 -1.456608e-02
  103 1.635963e+00 4.768759e-04 2.011997e-06 -1.467085e-02
  107 1.586264e+00 4.721220e-04 2.016376e-06 -1.501665e-02
  110 1.551792e+00 4.668442e-04 2.019942e-06 -1.520452e-02
  113 1.519381e+00 4.602628e-04 2.020134e-06 -1.533333e-02
  114 1.509014e+00 4.577603e-04 2.022064e-06 -1.536302e-02
  116 1.488807e+00 4.523796e-04 2.024504e-06 -1.540212e-02
  120 1.450715e+00 4.400481e-04 2.030410e-06 -1.540608e-02
  121 1.441510e+00 4.367295e-04 2.031218e-06 -1.539121e-02
  126 1.397430e+00 4.180458e-04 2.038520e-06 -1.522688e-02
  127 1.388967e+00 4.139784e-04 2.038320e-06 -1.517699e-02
  128 1.380596e+00 4.098716e-04 2.039668e-06 -1.512184e-02
  130 1.364087e+00 4.012558e-04 2.044542e-06 -1.499309e-02
  133 1.340048e+00 3.877751e-04 2.050204e-06 -1.476179e-02
  134 1.332208e+00 3.831383e-04 2.050639e-06 -1.467443e-02
  139 1.293825e+00 3.588696e-04 2.060709e-06 -1.416106e-02
  140 1.286355e+00 3.538464e-04 2.062955e-06 -1.404511e-02
  141 1.278863e+00 3.487685e-04 2.065165e-06 -1.392297e-02
  142 1.271461e+00 3.436501e-04 2.065665e-06 -1.379771e-02
  144 1.256802e+00 3.333108e-04 2.070328e-06 -1.353364e-02
  145 1.249484e+00 3.281251e-04 2.074250e-06 -1.339493e-02
  148 1.227959e+00 3.123306e-04 2.078203e-06 -1.295948e-02
  150 1.213679e+00 3.017461e-04 2.085418e-06 -1.264781e-02
  152 1.199539e+00 2.911044e-04 2.089413e-06 -1.232352e-02
  153 1.192517e+00 2.857942e-04 2.091510e-06 -1.215672e-02
  155 1.178478e+00 2.752248e-04 2.096864e-06 -1.181136e-02
  156 1.171517e+00 2.699702e-04 2.098511e-06 -1.163582e-02
  158 1.157648e+00 2.594909e-04 2.103764e-06 -1.127401e-02
  160 1.143837e+00 2.491108e-04 2.109365e-06 -1.090170e-02
  161 1.136946e+00 2.440123e-04 2.112140e-06 -1.071085e-02
  165 1.109615e+00 2.238737e-04 2.122689e-06 -9.927766e-03
  170 1.075810e+00 1.999087e-04 2.136091e-06 -8.904302e-03
  171 1.069079e+00 1.953234e-04 2.138069e-06 -8.694702e-03
  172 1.062318e+00 1.908046e-04 2.141048e-06 -8.482708e-03
  173 1.055579e+00 1.863414e-04 2.143126e-06 -8.271031e-03
  175 1.042064e+00 1.777254e-04 2.149120e-06 -7.840301e-03
  177 1.028512e+00 1.694542e-04 2.155631e-06 -7.405153e-03
  179 1.015008e+00 1.615811e-04 2.160163e-06 -6.967097e-03
  180 1.008252e+00 1.577820e-04 2.163631e-06 -6.746381e-03
  181 1.001485e+00 1.540915e-04 2.166615e-06 -6.524903e-03
  184 9.811819e-01 1.436665e-04 2.174752e-06 -5.857221e-03
  186 9.676298e-01 1.372982e-04 2.179782e-06 -5.410800e-03
  189 9.473405e-01 1.286486e-04 2.187007e-06 -4.739712e-03
  190 9.406124e-01 1.260242e-04 2.190624e-06 -4.515428e-03
  192 9.270425e-01 1.211693e-04 2.196758e-06 -4.066786e-03
  196 8.999866e-01 1.130712e-04 2.207235e-06 -3.175435e-03
  197 8.932713e-01 1.113856e-04 2.208467e-06 -2.955058e-03
  198 8.865318e-01 1.098582e-04 2.211027e-06 -2.734259e-03
