#    L    TT             EE             BB             TE          
     1    0.10157E+04    0.60768E-06    0.60912E-06   -0.85202E-07
     2    0.10437E+04    0.38457E-01    0.18249E-05    0.28896E+01
     3    0.98555E+03    0.55279E-01    0.36484E-05    0.34038E+01
     4    0.92945E+03    0.54117E-01    0.60772E-05    0.33282E+01
     5    0.88689E+03    0.41103E-01    0.91151E-05    0.29447E+01
     6    0.85714E+03    0.25748E-01    0.12761E-04    0.24527E+01
     7    0.83767E+03    0.14312E-01    0.17017E-04    0.19715E+01
     8    0.82551E+03    0.82307E-02    0.21883E-04    0.15649E+01
     9    0.81916E+03    0.58912E-02    0.27361E-04    0.12557E+01
    10    0.81712E+03    0.50983E-02    0.33452E-04    0.10488E+01
    11    0.81797E+03    0.45258E-02    0.40159E-04    0.93607E+00
    12    0.82220E+03    0.39925E-02    0.47479E-04    0.90199E+00
    13    0.82812E+03    0.33823E-02    0.55418E-04    0.91987E+00
    14    0.83482E+03    0.31781E-02    0.63974E-04    0.96246E+00
    15    0.84267E+03    0.32853E-02    0.73152E-04    0.10182E+01
    16    0.85213E+03    0.34759E-02    0.82950E-04    0.10802E+01
    17    0.86319E+03    0.37859E-02    0.93372E-04    0.11427E+01
    18    0.87494E+03    0.41395E-02    0.10442E-03    0.12022E+01
    19    0.88820E+03    0.45954E-02    0.11609E-03    0.12586E+01
    20    0.90130E+03    0.52741E-02    0.12839E-03    0.13110E+01
    21    0.91460E+03    0.61400E-02    0.14132E-03    0.13651E+01
    22    0.92842E+03    0.72023E-02    0.15488E-03    0.14259E+01
    23    0.94256E+03    0.84437E-02    0.16907E-03    0.14916E+01
    24    0.95709E+03    0.98186E-02    0.18390E-03    0.15589E+01
    25    0.97196E+03    0.11363E-01    0.19936E-03    0.16257E+01
    26    0.98701E+03    0.13083E-01    0.21546E-03    0.16908E+01
    27    0.10025E+04    0.14947E-01    0.23219E-03    0.17503E+01
    28    0.10182E+04    0.16949E-01    0.24957E-03    0.18013E+01
    29    0.10343E+04    0.19106E-01    0.26758E-03    0.18429E+01
    30    0.10505E+04    0.21449E-01    0.28623E-03    0.18741E+01
    31    0.10669E+04    0.23995E-01    0.30553E-03    0.18966E+01
    32    0.10836E+04    0.26746E-01    0.32546E-03    0.19119E+01
    33    0.11006E+04    0.29701E-01    0.34605E-03    0.19177E+01
    34    0.11179E+04    0.32872E-01    0.36727E-03    0.19131E+01
    35    0.11352E+04    0.36286E-01    0.38914E-03    0.19020E+01
    36    0.11526E+04    0.39968E-01    0.41165E-03    0.18871E+01
    37    0.11701E+04    0.43891E-01    0.43481E-03    0.18653E+01
    38    0.11880E+04    0.48030E-01    0.45862E-03    0.18345E+01
    39    0.12063E+04    0.52394E-01    0.48307E-03    0.17931E+01
    40    0.12247E+04    0.57005E-01    0.50817E-03    0.17397E+01
    41    0.12433E+04    0.61887E-01    0.53391E-03    0.16730E+01
    42    0.12619E+04    0.67048E-01    0.56030E-03    0.15926E+01
    43    0.12807E+04    0.72495E-01    0.58734E-03    0.14988E+01
    44    0.12995E+04    0.78217E-01    0.61502E-03    0.13924E+01
    45    0.13186E+04    0.84214E-01    0.64336E-03    0.12745E+01
    46    0.13380E+04    0.90490E-01    0.67233E-03    0.11441E+01
    47    0.13575E+04    0.97041E-01    0.70196E-03    0.10020E+01
    48    0.13771E+04    0.10387E+00    0.73223E-03    0.85194E+00
    49    0.13968E+04    0.11095E+00    0.76314E-03    0.69725E+00
    50    0.14169E+04    0.11827E+00    0.79470E-03    0.53437E+00
    51    0.14372E+04    0.12578E+00    0.82691E-03    0.35832E+00
    52    0.14579E+04    0.13358E+00    0.85976E-03    0.16412E+00
    53    0.14785E+04    0.14183E+00    0.89326E-03   -0.51421E-01
    54    0.14991E+04    0.15051E+00    0.92740E-03   -0.28349E+00
    55    0.15198E+04    0.15961E+00    0.96218E-03   -0.52719E+00
    56    0.15409E+04    0.16899E+00    0.99761E-03   -0.78374E+00
    57    0.15623E+04    0.17853E+00    0.10337E-02   -0.10527E+01
    58    0.15839E+04    0.18825E+00    0.10704E-02   -0.13345E+01
    59    0.16058E+04    0.19817E+00    0.11077E-02   -0.16295E+01
    60    0.16278E+04    0.20833E+00    0.11457E-02   -0.19366E+01
    61    0.16502E+04    0.21883E+00    0.11844E-02   -0.22548E+01
    62    0.16726E+04    0.22966E+00    0.12237E-02   -0.25852E+01
    63    0.16950E+04    0.24077E+00    0.12636E-02   -0.29290E+01
    64    0.17179E+04    0.25220E+00    0.13042E-02   -0.32879E+01
    65    0.17408E+04    0.26391E+00    0.13454E-02   -0.36628E+01
    66    0.17640E+04    0.27585E+00    0.13872E-02   -0.40520E+01
    67    0.17873E+04    0.28801E+00    0.14297E-02   -0.44530E+01
    68    0.18111E+04    0.30044E+00    0.14728E-02   -0.48641E+01
    69    0.18351E+04    0.31308E+00    0.15166E-02   -0.52839E+01
    70    0.18594E+04    0.32598E+00    0.15610E-02   -0.57139E+01
    71    0.18838E+04    0.33913E+00    0.16061E-02   -0.61566E+01
    72    0.19084E+04    0.35250E+00    0.16518E-02   -0.66133E+01
    73    0.19331E+04    0.36604E+00    0.16981E-02   -0.70841E+01
    74    0.19581E+04    0.37976E+00    0.17451E-02   -0.75679E+01
    75    0.19833E+04    0.39366E+00    0.17927E-02   -0.80629E+01
    76    0.20089E+04    0.40773E+00    0.18410E-02   -0.85683E+01
    77    0.20347E+04    0.42198E+00    0.18899E-02   -0.90839E+01
    78    0.20610E+04    0.43642E+00    0.19395E-02   -0.96113E+01
    79    0.20874E+04    0.45101E+00    0.19897E-02   -0.10147E+02
    80    0.21142E+04    0.46575E+00    0.20406E-02   -0.10692E+02
    81    0.21411E+04    0.48058E+00    0.20921E-02   -0.11247E+02
    82    0.21682E+04    0.49554E+00    0.21443E-02   -0.11812E+02
    83    0.21956E+04    0.51058E+00    0.21971E-02   -0.12386E+02
    84    0.22232E+04    0.52572E+00    0.22506E-02   -0.12967E+02
    85    0.22510E+04    0.54092E+00    0.23047E-02   -0.13557E+02
    86    0.22790E+04    0.55620E+00    0.23595E-02   -0.14155E+02
    87    0.23073E+04    0.57152E+00    0.24150E-02   -0.14759E+02
    88    0.23357E+04    0.58690E+00    0.24711E-02   -0.15369E+02
    89    0.23644E+04    0.60233E+00    0.25279E-02   -0.15987E+02
    90    0.23934E+04    0.61777E+00    0.25854E-02   -0.16610E+02
    91    0.24225E+04    0.63320E+00    0.26436E-02   -0.17239E+02
    92    0.24519E+04    0.64862E+00    0.27024E-02   -0.17872E+02
    93    0.24815E+04    0.66402E+00    0.27619E-02   -0.18510E+02
    94    0.25113E+04    0.67935E+00    0.28221E-02   -0.19152E+02
    95    0.25413E+04    0.69463E+00    0.28830E-02   -0.19797E+02
    96    0.25713E+04    0.70983E+00    0.29446E-02   -0.20446E+02
    97    0.26018E+04    0.72494E+00    0.30068E-02   -0.21098E+02
    98    0.26325E+04    0.73995E+00    0.30698E-02   -0.21750E+02
    99    0.26633E+04    0.75483E+00    0.31335E-02   -0.22405E+02
   100    0.26944E+04    0.76958E+00    0.31978E-02   -0.23060E+02
   101    0.27256E+04    0.78425E+00    0.32629E-02   -0.23717E+02
   102    0.27573E+04    0.79869E+00    0.33287E-02   -0.24374E+02
   103    0.27890E+04    0.81299E+00    0.33952E-02   -0.25031E+02
   104    0.28209E+04    0.82714E+00    0.34625E-02   -0.25687E+02
   105    0.28529E+04    0.84107E+00    0.35305E-02   -0.26341E+02
   106    0.28852E+04    0.85484E+00    0.35992E-02   -0.26994E+02
   107    0.29174E+04    0.86832E+00    0.36686E-02   -0.27645E+02
   108    0.29500E+04    0.88158E+00    0.37388E-02   -0.28293E+02
   109    0.29827E+04    0.89454E+00    0.38098E-02   -0.28938E+02
   110    0.30156E+04    0.90720E+00    0.38815E-02   -0.29578E+02
   111    0.30486E+04    0.91964E+00    0.39539E-02   -0.30215E+02
   112    0.30817E+04    0.93179E+00    0.40271E-02   -0.30847E+02
   113    0.31151E+04    0.94363E+00    0.41011E-02   -0.31474E+02
   114    0.31485E+04    0.95510E+00    0.41759E-02   -0.32094E+02
   115    0.31822E+04    0.96635E+00    0.42515E-02   -0.32708E+02
   116    0.32159E+04    0.97716E+00    0.43278E-02   -0.33314E+02
   117    0.32499E+04    0.98759E+00    0.44050E-02   -0.33912E+02
   118    0.32840E+04    0.99780E+00    0.44829E-02   -0.34503E+02
   119    0.33181E+04    0.10076E+01    0.45617E-02   -0.35084E+02
   120    0.33524E+04    0.10169E+01    0.46412E-02   -0.35655E+02
   121    0.33867E+04    0.10260E+01    0.47216E-02   -0.36216E+02
   122    0.34210E+04    0.10346E+01    0.48028E-02   -0.36766E+02
   123    0.34555E+04    0.10427E+01    0.48849E-02   -0.37306E+02
   124    0.34900E+04    0.10505E+01    0.49678E-02   -0.37832E+02
   125    0.35244E+04    0.10577E+01    0.50515E-02   -0.38347E+02
   126    0.35590E+04    0.10647E+01    0.51361E-02   -0.38849E+02
   127    0.35935E+04    0.10711E+01    0.52215E-02   -0.39338E+02
   128    0.36281E+04    0.10771E+01    0.53078E-02   -0.39813E+02
   129    0.36627E+04    0.10826E+01    0.53949E-02   -0.40273E+02
   130    0.36973E+04    0.10876E+01    0.54830E-02   -0.40717E+02
   131    0.37318E+04    0.10922E+01    0.55719E-02   -0.41148E+02
   132    0.37665E+04    0.10962E+01    0.56617E-02   -0.41562E+02
   133    0.38010E+04    0.10999E+01    0.57524E-02   -0.41960E+02
   134    0.38356E+04    0.11031E+01    0.58440E-02   -0.42340E+02
   135    0.38701E+04    0.11057E+01    0.59365E-02   -0.42703E+02
   136    0.39045E+04    0.11078E+01    0.60299E-02   -0.43047E+02
   137    0.39388E+04    0.11095E+01    0.61242E-02   -0.43372E+02
   138    0.39731E+04    0.11107E+01    0.62195E-02   -0.43679E+02
   139    0.40072E+04    0.11115E+01    0.63157E-02   -0.43966E+02
   140    0.40413E+04    0.11117E+01    0.64128E-02   -0.44234E+02
   141    0.40752E+04    0.11114E+01    0.65108E-02   -0.44481E+02
   142    0.41091E+04    0.11106E+01    0.66098E-02   -0.44707E+02
   143    0.41429E+04    0.11094E+01    0.67098E-02   -0.44913E+02
   144    0.41765E+04    0.11076E+01    0.68106E-02   -0.45097E+02
   145    0.42100E+04    0.11055E+01    0.69125E-02   -0.45260E+02
   146    0.42435E+04    0.11028E+01    0.70153E-02   -0.45401E+02
   147    0.42766E+04    0.10997E+01    0.71191E-02   -0.45519E+02
   148    0.43096E+04    0.10961E+01    0.72238E-02   -0.45615E+02
   149    0.43426E+04    0.10921E+01    0.73296E-02   -0.45688E+02
   150    0.43752E+04    0.10877E+01    0.74363E-02   -0.45736E+02
   151    0.44077E+04    0.10828E+01    0.75440E-02   -0.45761E+02
   152    0.44399E+04    0.10774E+01    0.76526E-02   -0.45762E+02
   153    0.44719E+04    0.10717E+01    0.77623E-02   -0.45737E+02
   154    0.45038E+04    0.10656E+01    0.78729E-02   -0.45688E+02
   155    0.45354E+04    0.10591E+01    0.79846E-02   -0.45615E+02
   156    0.45666E+04    0.10522E+01    0.80972E-02   -0.45517E+02
   157    0.45978E+04    0.10450E+01    0.82109E-02   -0.45392E+02
   158    0.46286E+04    0.10375E+01    0.83255E-02   -0.45243E+02
   159    0.46592E+04    0.10295E+01    0.84412E-02   -0.45067E+02
   160    0.46895E+04    0.10213E+01    0.85578E-02   -0.44865E+02
   161    0.47196E+04    0.10128E+01    0.86755E-02   -0.44637E+02
   162    0.47494E+04    0.10040E+01    0.87942E-02   -0.44384E+02
   163    0.47790E+04    0.99482E+00    0.89138E-02   -0.44104E+02
   164    0.48082E+04    0.98547E+00    0.90345E-02   -0.43798E+02
   165    0.48372E+04    0.97582E+00    0.91562E-02   -0.43464E+02
   166    0.48659E+04    0.96603E+00    0.92789E-02   -0.43104E+02
   167    0.48944E+04    0.95587E+00    0.94026E-02   -0.42718E+02
   168    0.49224E+04    0.94572E+00    0.95274E-02   -0.42304E+02
   169    0.49501E+04    0.93528E+00    0.96531E-02   -0.41863E+02
   170    0.49775E+04    0.92477E+00    0.97798E-02   -0.41395E+02
   171    0.50044E+04    0.91419E+00    0.99076E-02   -0.40898E+02
   172    0.50310E+04    0.90347E+00    0.10036E-01   -0.40374E+02
   173    0.50570E+04    0.89261E+00    0.10166E-01   -0.39823E+02
   174    0.50828E+04    0.88190E+00    0.10297E-01   -0.39245E+02
   175    0.51082E+04    0.87105E+00    0.10428E-01   -0.38638E+02
   176    0.51330E+04    0.86028E+00    0.10561E-01   -0.38004E+02
   177    0.51574E+04    0.84952E+00    0.10695E-01   -0.37343E+02
   178    0.51814E+04    0.83899E+00    0.10830E-01   -0.36654E+02
   179    0.52049E+04    0.82839E+00    0.10965E-01   -0.35938E+02
   180    0.52281E+04    0.81795E+00    0.11102E-01   -0.35194E+02
   181    0.52508E+04    0.80768E+00    0.11239E-01   -0.34425E+02
   182    0.52729E+04    0.79763E+00    0.11378E-01   -0.33627E+02
   183    0.52946E+04    0.78774E+00    0.11518E-01   -0.32803E+02
   184    0.53158E+04    0.77809E+00    0.11658E-01   -0.31951E+02
   185    0.53366E+04    0.76882E+00    0.11799E-01   -0.31075E+02
   186    0.53566E+04    0.75979E+00    0.11942E-01   -0.30171E+02
   187    0.53764E+04    0.75115E+00    0.12085E-01   -0.29240E+02
   188    0.53957E+04    0.74288E+00    0.12229E-01   -0.28285E+02
   189    0.54143E+04    0.73501E+00    0.12374E-01   -0.27303E+02
   190    0.54328E+04    0.72761E+00    0.12520E-01   -0.26297E+02
   191    0.54504E+04    0.72069E+00    0.12667E-01   -0.25263E+02
   192    0.54676E+04    0.71427E+00    0.12815E-01   -0.24205E+02
   193    0.54842E+04    0.70840E+00    0.12964E-01   -0.23124E+02
   194    0.55004E+04    0.70312E+00    0.13113E-01   -0.22017E+02
   195    0.55161E+04    0.69845E+00    0.13264E-01   -0.20886E+02
   196    0.55311E+04    0.69444E+00    0.13415E-01   -0.19732E+02
   197    0.55456E+04    0.69113E+00    0.13567E-01   -0.18555E+02
   198    0.55596E+04    0.68854E+00    0.13720E-01   -0.17354E+02
   199    0.55731E+04    0.68671E+00    0.13874E-01   -0.16131E+02
   200    0.55861E+04    0.68568E+00    0.14028E-01   -0.14886E+02
   201    0.55984E+04    0.68549E+00    0.14184E-01   -0.13619E+02
   202    0.56103E+04    0.68617E+00    0.14340E-01   -0.12330E+02
   203    0.56215E+04    0.68776E+00    0.14497E-01   -0.11020E+02
   204    0.56321E+04    0.69029E+00    0.14654E-01   -0.96909E+01
   205    0.56421E+04    0.69381E+00    0.14813E-01   -0.83408E+01
   206    0.56514E+04    0.69835E+00    0.14972E-01   -0.69710E+01
   207    0.56603E+04    0.70394E+00    0.15132E-01   -0.55819E+01
   208    0.56683E+04    0.71062E+00    0.15292E-01   -0.41740E+01
   209    0.56758E+04    0.71843E+00    0.15453E-01   -0.27478E+01
   210    0.56827E+04    0.72741E+00    0.15615E-01   -0.13041E+01
   211    0.56889E+04    0.73759E+00    0.15778E-01    0.15694E+00
   212    0.56944E+04    0.74900E+00    0.15941E-01    0.16344E+01
   213    0.56994E+04    0.76169E+00    0.16105E-01    0.31283E+01
   214    0.57037E+04    0.77565E+00    0.16269E-01    0.46375E+01
   215    0.57074E+04    0.79108E+00    0.16434E-01    0.61612E+01
   216    0.57104E+04    0.80778E+00    0.16600E-01    0.76998E+01
   217    0.57129E+04    0.82592E+00    0.16766E-01    0.92514E+01
   218    0.57147E+04    0.84549E+00    0.16932E-01    0.10816E+02
   219    0.57159E+04    0.86650E+00    0.17099E-01    0.12395E+02
   220    0.57165E+04    0.88909E+00    0.17267E-01    0.13984E+02
   221    0.57165E+04    0.91319E+00    0.17435E-01    0.15584E+02
   222    0.57159E+04    0.93895E+00    0.17604E-01    0.17195E+02
   223    0.57146E+04    0.96629E+00    0.17773E-01    0.18817E+02
   224    0.57128E+04    0.99522E+00    0.17942E-01    0.20446E+02
   225    0.57103E+04    0.10259E+01    0.18112E-01    0.22086E+02
   226    0.57072E+04    0.10583E+01    0.18283E-01    0.23732E+02
   227    0.57034E+04    0.10924E+01    0.18453E-01    0.25387E+02
   228    0.56991E+04    0.11282E+01    0.18624E-01    0.27048E+02
   229    0.56942E+04    0.11659E+01    0.18796E-01    0.28714E+02
   230    0.56886E+04    0.12054E+01    0.18967E-01    0.30386E+02
   231    0.56823E+04    0.12467E+01    0.19139E-01    0.32063E+02
   232    0.56755E+04    0.12899E+01    0.19312E-01    0.33743E+02
   233    0.56681E+04    0.13351E+01    0.19484E-01    0.35426E+02
   234    0.56599E+04    0.13822E+01    0.19657E-01    0.37111E+02
   235    0.56512E+04    0.14312E+01    0.19830E-01    0.38798E+02
   236    0.56419E+04    0.14822E+01    0.20003E-01    0.40486E+02
   237    0.56319E+04    0.15352E+01    0.20177E-01    0.42174E+02
   238    0.56213E+04    0.15903E+01    0.20350E-01    0.43862E+02
   239    0.56102E+04    0.16474E+01    0.20524E-01    0.45548E+02
   240    0.55983E+04    0.17065E+01    0.20698E-01    0.47232E+02
   241    0.55859E+04    0.17678E+01    0.20872E-01    0.48913E+02
   242    0.55730E+04    0.18311E+01    0.21046E-01    0.50591E+02
   243    0.55595E+04    0.18966E+01    0.21220E-01    0.52264E+02
   244    0.55453E+04    0.19642E+01    0.21394E-01    0.53933E+02
   245    0.55305E+04    0.20340E+01    0.21568E-01    0.55595E+02
   246    0.55152E+04    0.21059E+01    0.21742E-01    0.57252E+02
   247    0.54994E+04    0.21800E+01    0.21916E-01    0.58901E+02
   248    0.54830E+04    0.22565E+01    0.22090E-01    0.60542E+02
   249    0.54661E+04    0.23350E+01    0.22264E-01    0.62175E+02
   250    0.54486E+04    0.24159E+01    0.22438E-01    0.63798E+02
   251    0.54306E+04    0.24989E+01    0.22612E-01    0.65412E+02
   252    0.54120E+04    0.25843E+01    0.22786E-01    0.67015E+02
   253    0.53930E+04    0.26717E+01    0.22960E-01    0.68605E+02
   254    0.53734E+04    0.27615E+01    0.23133E-01    0.70184E+02
   255    0.53533E+04    0.28535E+01    0.23306E-01    0.71750E+02
   256    0.53328E+04    0.29479E+01    0.23480E-01    0.73304E+02
   257    0.53118E+04    0.30443E+01    0.23652E-01    0.74838E+02
   258    0.52902E+04    0.31432E+01    0.23825E-01    0.76363E+02
   259    0.52682E+04    0.32442E+01    0.23998E-01    0.77867E+02
   260    0.52459E+04    0.33476E+01    0.24170E-01    0.79362E+02
   261    0.52229E+04    0.34531E+01    0.24342E-01    0.80827E+02
   262    0.51995E+04    0.35609E+01    0.24513E-01    0.82285E+02
   263    0.51759E+04    0.36710E+01    0.24685E-01    0.83727E+02
   264    0.51517E+04    0.37833E+01    0.24856E-01    0.85147E+02
   265    0.51270E+04    0.38978E+01    0.25026E-01    0.86536E+02
   266    0.51019E+04    0.40146E+01    0.25197E-01    0.87918E+02
   267    0.50764E+04    0.41335E+01    0.25366E-01    0.89269E+02
   268    0.50504E+04    0.42548E+01    0.25536E-01    0.90606E+02
   269    0.50240E+04    0.43782E+01    0.25705E-01    0.91919E+02
   270    0.49973E+04    0.45037E+01    0.25874E-01    0.93210E+02
   271    0.49701E+04    0.46313E+01    0.26042E-01    0.94478E+02
   272    0.49427E+04    0.47613E+01    0.26210E-01    0.95716E+02
   273    0.49149E+04    0.48931E+01    0.26377E-01    0.96939E+02
   274    0.48868E+04    0.50273E+01    0.26544E-01    0.98125E+02
