#    L    TT             EE             BB             TE             PP             TP             EP          
     1    0.10157E+04    0.00000E+00    0.00000E+00    0.00000E+00    0.36403E-07    0.28858E-02    0.00000E+00
     2    0.10437E+04    0.38455E-01    0.00000E+00    0.28896E+01    0.50169E-07    0.31133E-02   -0.13699E-04
     3    0.98554E+03    0.55276E-01    0.00000E+00    0.34038E+01    0.61068E-07    0.31119E-02   -0.15683E-04
     4    0.92944E+03    0.54112E-01    0.00000E+00    0.33282E+01    0.70368E-07    0.30360E-02   -0.14494E-04
     5    0.88687E+03    0.41094E-01    0.00000E+00    0.29447E+01    0.78431E-07    0.29323E-02   -0.11307E-04
     6    0.85711E+03    0.25736E-01    0.00000E+00    0.24527E+01    0.85467E-07    0.28205E-02   -0.71805E-05
     7    0.83764E+03    0.14295E-01    0.00000E+00    0.19715E+01    0.91660E-07    0.27105E-02   -0.30437E-05
     8    0.82547E+03    0.82089E-02    0.00000E+00    0.15650E+01    0.97141E-07    0.26028E-02    0.36444E-06
     9    0.81911E+03    0.58639E-02    0.00000E+00    0.12558E+01    0.10202E-06    0.24966E-02    0.25794E-05
    10    0.81706E+03    0.50649E-02    0.00000E+00    0.10489E+01    0.10636E-06    0.23940E-02    0.34981E-05
    11    0.81790E+03    0.44857E-02    0.00000E+00    0.93609E+00    0.11027E-06    0.23000E-02    0.33356E-05
    12    0.82212E+03    0.39451E-02    0.00000E+00    0.90201E+00    0.11375E-06    0.22155E-02    0.24359E-05
    13    0.82802E+03    0.33269E-02    0.00000E+00    0.91990E+00    0.11687E-06    0.21387E-02    0.11246E-05
    14    0.83471E+03    0.31142E-02    0.00000E+00    0.96250E+00    0.11967E-06    0.20675E-02   -0.28014E-06
    15    0.84254E+03    0.32122E-02    0.00000E+00    0.10182E+01    0.12218E-06    0.19989E-02   -0.14219E-05
    16    0.85199E+03    0.33930E-02    0.00000E+00    0.10803E+01    0.12443E-06    0.19311E-02   -0.20109E-05
    17    0.86303E+03    0.36926E-02    0.00000E+00    0.11428E+01    0.12645E-06    0.18654E-02   -0.20435E-05
    18    0.87476E+03    0.40351E-02    0.00000E+00    0.12023E+01    0.12827E-06    0.18037E-02   -0.16263E-05
    19    0.88801E+03    0.44793E-02    0.00000E+00    0.12587E+01    0.12988E-06    0.17457E-02   -0.10311E-05
    20    0.90109E+03    0.51457E-02    0.00000E+00    0.13111E+01    0.13132E-06    0.16907E-02   -0.51463E-06
    21    0.91437E+03    0.59987E-02    0.00000E+00    0.13653E+01    0.13259E-06    0.16384E-02   -0.12302E-06
    22    0.92817E+03    0.70474E-02    0.00000E+00    0.14261E+01    0.13371E-06    0.15885E-02    0.13949E-06
    23    0.94229E+03    0.82747E-02    0.00000E+00    0.14918E+01    0.13470E-06    0.15412E-02    0.22909E-06
