#    L    TT             EE             BB             TE          
     1    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
     2    0.50017E+03    0.10940E-01    0.18741E-01    0.52324E+00
     3    0.40157E+03    0.12350E-01    0.19829E-01   -0.86314E-01
     4    0.37782E+03    0.11700E-01    0.17878E-01   -0.26230E+00
     5    0.36945E+03    0.95661E-02    0.14427E-01   -0.29594E+00
     6    0.36674E+03    0.70449E-02    0.10765E-01   -0.27501E+00
     7    0.36678E+03    0.49351E-02    0.76860E-02   -0.23979E+00
     8    0.36804E+03    0.35819E-02    0.55013E-02   -0.21096E+00
     9    0.36997E+03    0.29999E-02    0.42131E-02   -0.19151E+00
    10    0.37221E+03    0.29980E-02    0.36646E-02   -0.18283E+00
    11    0.37425E+03    0.33604E-02    0.36517E-02   -0.18616E+00
    12    0.37559E+03    0.39166E-02    0.39886E-02   -0.19615E+00
    13    0.37653E+03    0.45826E-02    0.45448E-02   -0.21154E+00
    14    0.37751E+03    0.53043E-02    0.52173E-02   -0.23249E+00
    15    0.37872E+03    0.60691E-02    0.59605E-02   -0.25841E+00
    16    0.38017E+03    0.68745E-02    0.67472E-02   -0.28858E+00
    17    0.38151E+03    0.77181E-02    0.75681E-02   -0.32250E+00
    18    0.38237E+03    0.85974E-02    0.84185E-02   -0.35964E+00
    19    0.38275E+03    0.95111E-02    0.92972E-02   -0.39910E+00
    20    0.38275E+03    0.10458E-01    0.10204E-01   -0.44019E+00
    21    0.38245E+03    0.11440E-01    0.11136E-01   -0.48345E+00
    22    0.38192E+03    0.12456E-01    0.12093E-01   -0.52948E+00
    23    0.38117E+03    0.13505E-01    0.13073E-01   -0.57793E+00
    24    0.38022E+03    0.14585E-01    0.14074E-01   -0.62833E+00
    25    0.37907E+03    0.15692E-01    0.15094E-01   -0.68047E+00
    26    0.37775E+03    0.16823E-01    0.16132E-01   -0.73418E+00
    27    0.37626E+03    0.17971E-01    0.17187E-01   -0.78893E+00
    28    0.37461E+03    0.19136E-01    0.18260E-01   -0.84436E+00
    29    0.37280E+03    0.20328E-01    0.19350E-01   -0.90100E+00
    30    0.37082E+03    0.21558E-01    0.20456E-01   -0.95937E+00
    31    0.36870E+03    0.22823E-01    0.21577E-01   -0.10191E+01
    32    0.36645E+03    0.24116E-01    0.22710E-01   -0.10796E+01
    33    0.36407E+03    0.25426E-01    0.23855E-01   -0.11407E+01
    34    0.36154E+03    0.26745E-01    0.25008E-01   -0.12023E+01
    35    0.35888E+03    0.28078E-01    0.26167E-01   -0.12642E+01
    36    0.35611E+03    0.29432E-01    0.27329E-01   -0.13263E+01
    37    0.35323E+03    0.30807E-01    0.28494E-01   -0.13885E+01
    38    0.35023E+03    0.32201E-01    0.29667E-01   -0.14503E+01
    39    0.34713E+03    0.33611E-01    0.30843E-01   -0.15119E+01
    40    0.34393E+03    0.35032E-01    0.32018E-01   -0.15731E+01
    41    0.34062E+03    0.36461E-01    0.33189E-01   -0.16340E+01
    42    0.33722E+03    0.37895E-01    0.34355E-01   -0.16945E+01
    43    0.33373E+03    0.39336E-01    0.35514E-01   -0.17544E+01
    44    0.33014E+03    0.40783E-01    0.36666E-01   -0.18136E+01
    45    0.32647E+03    0.42236E-01    0.37810E-01   -0.18721E+01
    46    0.32272E+03    0.43695E-01    0.38944E-01   -0.19297E+01
    47    0.31890E+03    0.45157E-01    0.40068E-01   -0.19863E+01
    48    0.31500E+03    0.46623E-01    0.41180E-01   -0.20418E+01
    49    0.31104E+03    0.48089E-01    0.42279E-01   -0.20961E+01
    50    0.30701E+03    0.49554E-01    0.43362E-01   -0.21490E+01
    51    0.30293E+03    0.51018E-01    0.44429E-01   -0.22005E+01
    52    0.29879E+03    0.52477E-01    0.45478E-01   -0.22506E+01
    53    0.29460E+03    0.53932E-01    0.46509E-01   -0.22991E+01
    54    0.29036E+03    0.55379E-01    0.47521E-01   -0.23460E+01
    55    0.28608E+03    0.56818E-01    0.48512E-01   -0.23914E+01
    56    0.28176E+03    0.58248E-01    0.49484E-01   -0.24350E+01
    57    0.27740E+03    0.59666E-01    0.50433E-01   -0.24770E+01
    58    0.27301E+03    0.61074E-01    0.51360E-01   -0.25171E+01
    59    0.26859E+03    0.62470E-01    0.52262E-01   -0.25554E+01
    60    0.26414E+03    0.63855E-01    0.53140E-01   -0.25917E+01
    61    0.25966E+03    0.65227E-01    0.53991E-01   -0.26260E+01
    62    0.25516E+03    0.66585E-01    0.54816E-01   -0.26582E+01
    63    0.25065E+03    0.67928E-01    0.55614E-01   -0.26885E+01
    64    0.24612E+03    0.69254E-01    0.56384E-01   -0.27169E+01
    65    0.24158E+03    0.70563E-01    0.57126E-01   -0.27433E+01
    66    0.23705E+03    0.71852E-01    0.57840E-01   -0.27678E+01
    67    0.23251E+03    0.73120E-01    0.58525E-01   -0.27903E+01
    68    0.22797E+03    0.74366E-01    0.59180E-01   -0.28107E+01
    69    0.22344E+03    0.75587E-01    0.59804E-01   -0.28290E+01
    70    0.21890E+03    0.76782E-01    0.60397E-01   -0.28450E+01
    71    0.21438E+03    0.77950E-01    0.60959E-01   -0.28587E+01
    72    0.20986E+03    0.79092E-01    0.61489E-01   -0.28701E+01
    73    0.20536E+03    0.80208E-01    0.61988E-01   -0.28795E+01
    74    0.20088E+03    0.81301E-01    0.62455E-01   -0.28869E+01
    75    0.19642E+03    0.82371E-01    0.62890E-01   -0.28925E+01
    76    0.19198E+03    0.83419E-01    0.63295E-01   -0.28965E+01
    77    0.18757E+03    0.84443E-01    0.63667E-01   -0.28987E+01
    78    0.18318E+03    0.85437E-01    0.64008E-01   -0.28990E+01
    79    0.17883E+03    0.86400E-01    0.64317E-01   -0.28973E+01
    80    0.17450E+03    0.87327E-01    0.64594E-01   -0.28935E+01
    81    0.17021E+03    0.88216E-01    0.64839E-01   -0.28874E+01
    82    0.16595E+03    0.89067E-01    0.65051E-01   -0.28793E+01
    83    0.16173E+03    0.89882E-01    0.65232E-01   -0.28691E+01
    84    0.15755E+03    0.90661E-01    0.65380E-01   -0.28571E+01
    85    0.15341E+03    0.91407E-01    0.65497E-01   -0.28433E+01
    86    0.14932E+03    0.92119E-01    0.65582E-01   -0.28279E+01
    87    0.14528E+03    0.92798E-01    0.65635E-01   -0.28110E+01
    88    0.14128E+03    0.93442E-01    0.65656E-01   -0.27924E+01
    89    0.13734E+03    0.94050E-01    0.65647E-01   -0.27723E+01
    90    0.13345E+03    0.94620E-01    0.65606E-01   -0.27506E+01
    91    0.12961E+03    0.95151E-01    0.65535E-01   -0.27274E+01
    92    0.12582E+03    0.95644E-01    0.65434E-01   -0.27027E+01
    93    0.12209E+03    0.96098E-01    0.65303E-01   -0.26765E+01
    94    0.11841E+03    0.96514E-01    0.65143E-01   -0.26490E+01
    95    0.11480E+03    0.96892E-01    0.64955E-01   -0.26201E+01
    96    0.11123E+03    0.97231E-01    0.64739E-01   -0.25900E+01
    97    0.10773E+03    0.97533E-01    0.64496E-01   -0.25586E+01
    98    0.10428E+03    0.97797E-01    0.64227E-01   -0.25260E+01
    99    0.10090E+03    0.98024E-01    0.63932E-01   -0.24923E+01
   100    0.97568E+02    0.98213E-01    0.63612E-01   -0.24576E+01
   101    0.94302E+02    0.98365E-01    0.63267E-01   -0.24219E+01
   102    0.91096E+02    0.98480E-01    0.62898E-01   -0.23852E+01
   103    0.87953E+02    0.98558E-01    0.62507E-01   -0.23476E+01
   104    0.84872E+02    0.98599E-01    0.62092E-01   -0.23091E+01
   105    0.81854E+02    0.98603E-01    0.61656E-01   -0.22699E+01
   106    0.78901E+02    0.98571E-01    0.61198E-01   -0.22300E+01
   107    0.76012E+02    0.98503E-01    0.60719E-01   -0.21893E+01
   108    0.73189E+02    0.98398E-01    0.60221E-01   -0.21480E+01
   109    0.70432E+02    0.98258E-01    0.59703E-01   -0.21062E+01
   110    0.67742E+02    0.98081E-01    0.59165E-01   -0.20638E+01
   111    0.65119E+02    0.97870E-01    0.58610E-01   -0.20210E+01
   112    0.62564E+02    0.97622E-01    0.58038E-01   -0.19778E+01
   113    0.60075E+02    0.97340E-01    0.57448E-01   -0.19341E+01
   114    0.57652E+02    0.97024E-01    0.56843E-01   -0.18902E+01
   115    0.55294E+02    0.96674E-01    0.56223E-01   -0.18459E+01
   116    0.53002E+02    0.96291E-01    0.55588E-01   -0.18014E+01
   117    0.50773E+02    0.95875E-01    0.54941E-01   -0.17567E+01
   118    0.48609E+02    0.95427E-01    0.54280E-01   -0.17118E+01
   119    0.46507E+02    0.94946E-01    0.53608E-01   -0.16668E+01
   120    0.44468E+02    0.94435E-01    0.52925E-01   -0.16217E+01
   121    0.42491E+02    0.93892E-01    0.52232E-01   -0.15766E+01
   122    0.40576E+02    0.93319E-01    0.51529E-01   -0.15315E+01
   123    0.38721E+02    0.92716E-01    0.50818E-01   -0.14864E+01
   124    0.36927E+02    0.92083E-01    0.50099E-01   -0.14414E+01
   125    0.35192E+02    0.91421E-01    0.49374E-01   -0.13965E+01
   126    0.33517E+02    0.90731E-01    0.48642E-01   -0.13518E+01
   127    0.31900E+02    0.90013E-01    0.47904E-01   -0.13073E+01
   128    0.30341E+02    0.89267E-01    0.47163E-01   -0.12630E+01
   129    0.28840E+02    0.88494E-01    0.46417E-01   -0.12191E+01
   130    0.27395E+02    0.87694E-01    0.45669E-01   -0.11755E+01
   131    0.26007E+02    0.86868E-01    0.44919E-01   -0.11322E+01
   132    0.24674E+02    0.86017E-01    0.44167E-01   -0.10894E+01
   133    0.23396E+02    0.85142E-01    0.43414E-01   -0.10470E+01
   134    0.22170E+02    0.84244E-01    0.42661E-01   -0.10051E+01
   135    0.20996E+02    0.83324E-01    0.41908E-01   -0.96359E+00
   136    0.19874E+02    0.82384E-01    0.41156E-01   -0.92263E+00
