# grad lensed Cls calculated from the lensit 10-11 box structure and unlensed Cls
# L          TT          EE          BB          TE
   14 2.497902e+01 9.634514e-05 3.153147e-06 2.878474e-02
   20 1.348467e+01 8.016519e-05 3.151812e-06 1.959913e-02
   28 7.879804e+00 1.324332e-04 3.148867e-06 1.392337e-02
   31 6.758458e+00 1.532691e-04 3.146953e-06 1.199725e-02
   40 4.693257e+00 2.197058e-04 3.140289e-06 6.648928e-03
   42 4.391576e+00 2.345775e-04 3.137122e-06 5.524108e-03
   44 4.124910e+00 2.495234e-04 3.134679e-06 4.401273e-03
   51 3.406277e+00 2.993301e-04 3.126931e-06 8.321758e-04
   56 3.034218e+00 3.339793e-04 3.117398e-06 -1.559230e-03
   58 2.909435e+00 3.469992e-04 3.114771e-06 -2.466388e-03
   60 2.795456e+00 3.589913e-04 3.113048e-06 -3.340115e-03
   63 2.642490e+00 3.765581e-04 3.106812e-06 -4.579185e-03
   70 2.351658e+00 4.134801e-04 3.092957e-06 -7.236010e-03
   72 2.282310e+00 4.227534e-04 3.089377e-06 -7.917317e-03
   76 2.157882e+00 4.391504e-04 3.082041e-06 -9.209178e-03
   80 2.050959e+00 4.529862e-04 3.075613e-06 -1.037412e-02
   82 2.002635e+00 4.588538e-04 3.070259e-06 -1.091126e-02
   85 1.935798e+00 4.663273e-04 3.064025e-06 -1.165710e-02
   86 1.914754e+00 4.684699e-04 3.061921e-06 -1.189018e-02
   89 1.855607e+00 4.738792e-04 3.055812e-06 -1.254211e-02
   90 1.837098e+00 4.753312e-04 3.055048e-06 -1.274381e-02
   95 1.751761e+00 4.799663e-04 3.046275e-06 -1.363625e-02
   99 1.691188e+00 4.804777e-04 3.037657e-06 -1.421321e-02
  100 1.677004e+00 4.801683e-04 3.036745e-06 -1.433811e-02
  102 1.649911e+00 4.790799e-04 3.034340e-06 -1.456752e-02
  103 1.636792e+00 4.782841e-04 3.031489e-06 -1.467205e-02
  107 1.587067e+00 4.735390e-04 3.024497e-06 -1.501654e-02
  110 1.552581e+00 4.682666e-04 3.021481e-06 -1.520364e-02
